                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74202,                0.73694,                0.98042,                 0.9293,                0.96194,                 0.9706,                0.62457,                 1.3252,                0.97702,                 1.3213,                  8e-05,                  8e-05,                  8e-05
                      2,                0.65556,                0.69963,                0.91195,                  0.974,                0.95122,                0.97116,                0.63565,                 1.2109,                0.85389,                 1.3196,             0.00017406,             0.00017406,             0.00017406
                      3,                0.64222,                0.67252,                0.96336,                      1,                0.87411,                0.96481,                0.66625,                 1.1499,                 0.8512,                 1.2309,             0.00026152,             0.00026152,             0.00026152
                      4,                0.73217,                0.67358,                0.94979,                0.99589,                0.85366,                0.94648,                0.59228,                 1.3612,                0.97072,                 1.2997,             0.00034238,             0.00034238,             0.00034238
                      5,                0.68068,                0.68007,                 0.9192,                0.97292,                0.87621,                0.95512,                0.59586,                 1.3149,                0.96075,                 1.3396,             0.00041664,             0.00041664,             0.00041664
                      6,                0.69122,                0.66307,                0.94906,                  0.928,                0.94325,                0.96669,                0.63954,                 1.2146,                0.86992,                 1.2728,              0.0004843,              0.0004843,              0.0004843
                      7,                 0.7187,                0.67523,                 0.9578,                0.97462,                0.93686,                0.97395,                0.60439,                 1.3346,                0.93812,                  1.297,             0.00054536,             0.00054536,             0.00054536
                      8,                0.69601,                0.65682,                0.95055,                      1,                0.85196,                0.96138,                0.60732,                 1.2333,                0.97686,                 1.2983,             0.00059982,             0.00059982,             0.00059982
                      9,                0.70416,                0.68921,                0.92532,                0.92467,                0.87805,                0.89904,                0.59637,                 1.2182,                 1.0442,                 1.3401,             0.00064768,             0.00064768,             0.00064768
                     10,                 0.7308,                0.67964,                0.93168,                0.91791,                0.87805,                0.89018,                0.49696,                 1.4776,                 1.0989,                 1.4739,             0.00068894,             0.00068894,             0.00068894
                     11,                0.82983,                0.72523,                 1.0085,                 0.9691,                0.87805,                0.89382,                0.53199,                 1.4298,                 1.0288,                 1.5068,              0.0007236,              0.0007236,              0.0007236
                     12,                0.69952,                0.70873,                0.98317,                0.96602,                0.87805,                0.91073,                0.60641,                 1.2268,                 1.0299,                 1.3135,             0.00075166,             0.00075166,             0.00075166
                     13,                0.82875,                0.73281,                0.99558,                0.96661,                0.87805,                  0.926,                0.62832,                 1.2114,                 1.0385,                  1.314,             0.00077312,             0.00077312,             0.00077312
                     14,                 0.7598,                0.69492,                 0.9508,                0.94326,                0.90244,                0.92622,                 0.5783,                 1.3011,                 1.1279,                 1.3413,             0.00078798,             0.00078798,             0.00078798
                     15,                 0.7671,                0.71051,                0.97243,                0.91668,                0.87805,                0.90995,                0.56393,                 1.3453,                 1.0797,                 1.3852,             0.00079624,             0.00079624,             0.00079624
                     16,                0.77781,                0.70693,                0.98864,                0.94685,                0.86909,                0.90679,                 0.5981,                 1.2265,                0.94637,                 1.3192,              0.0007979,              0.0007979,              0.0007979
                     17,                0.72798,                0.68158,                0.98532,                0.96835,                0.85366,                0.94837,                0.63867,                  1.229,                0.87147,                 1.3045,             0.00079296,             0.00079296,             0.00079296
                     18,                0.86076,                0.74795,                 1.0231,                0.97288,                0.87504,                  0.945,                0.62518,                 1.2685,                0.86693,                 1.3109,             0.00078142,             0.00078142,             0.00078142
                     19,                0.84417,                0.78428,                 1.0064,                0.97322,                0.88651,                0.95422,                0.59812,                 1.3502,                0.87938,                 1.3768,             0.00076328,             0.00076328,             0.00076328
                     20,                0.79866,                0.69035,                 1.0237,                0.93008,                0.85366,                0.92659,                0.61186,                   1.28,                 0.8911,                 1.3684,             0.00073854,             0.00073854,             0.00073854
                     21,                0.67952,                0.76319,                0.91731,                0.96273,                0.80488,                0.90856,                0.61836,                 1.2065,                 0.9283,                 1.3099,                0.00068,                0.00068,                0.00068
                     22,                0.62583,                0.66242,                0.91154,                0.96779,                0.80488,                0.86868,                0.60582,                 1.2169,                 1.0282,                 1.3202,               0.000614,               0.000614,               0.000614
                     23,                0.63632,                0.66937,                0.89701,                0.86752,                0.79871,                0.87903,                0.61806,                 1.1493,                  1.067,                  1.297,               0.000548,               0.000548,               0.000548
                     24,                0.63192,                0.70345,                0.92837,                0.90602,                0.73171,                0.85575,                0.59052,                 1.2115,                  1.156,                 1.3478,               0.000482,               0.000482,               0.000482
                     25,                0.65063,                0.65312,                0.94836,                0.90377,                0.73171,                0.85627,                0.57934,                 1.2126,                 1.1603,                 1.3295,               0.000416,               0.000416,               0.000416
                     26,                0.62153,                0.61796,                0.88022,                0.91132,                0.75205,                0.87942,                0.58402,                 1.2029,                 1.1254,                 1.3285,                0.00035,                0.00035,                0.00035
                     27,                0.58646,                0.60709,                0.88771,                0.87344,                0.85366,                0.90515,                0.60041,                 1.2207,                 1.0198,                 1.3434,               0.000284,               0.000284,               0.000284
                     28,                0.62465,                0.61763,                 0.9115,                0.86533,                0.94044,                0.95863,                0.63371,                 1.2258,                0.90845,                 1.3646,               0.000218,               0.000218,               0.000218
                     29,                0.56616,                0.57479,                0.88676,                      1,                0.84833,                0.96292,                0.63786,                 1.1901,                0.86064,                 1.3335,               0.000152,               0.000152,               0.000152
                     30,                0.53816,                 0.5823,                0.87716,                0.97426,                0.92334,                0.97101,                0.64093,                 1.1976,                0.83382,                 1.3232,                8.6e-05,                8.6e-05,                8.6e-05
